M2,M4-Archive,FS1,Belmullet-AMETS,M1,M3,M6,M4,M5,date
3324.1222042712952,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6267.863067967414,2592.0196298203073,1390.3051093844742,2481.8531053786246,2008-09-16
3324.688870937962,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6268.971401300748,2594.674788864162,1391.534276051141,2482.436438711958,2008-09-17
3325.297566590136,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6270.223575213791,2597.335027900488,1394.8429717033148,2482.7973082771755,2008-09-18
3325.785066590136,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6273.198575213792,2600.0003469292856,1398.3554717033148,2483.4389749438424,2008-09-19
3326.385066590136,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6275.298575213792,2602.670745950554,1401.0846383699816,2484.0723082771756,2008-09-20
3326.6993523044216,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6276.974765689983,2605.346224964294,1403.598274733618,2484.83421303908,2008-09-21
3328.0660189710884,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6279.849765689983,2608.026783970505,1406.9607747336179,2486.34671303908,2008-09-22
3328.9243523044215,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6282.320599023316,2610.7124229691876,1409.485774733618,2487.60921303908,2008-09-23
3329.6982653479,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6283.90696265968,2613.4031419603416,1411.2466442988355,2488.496169560819,2008-09-24
3330.1937198933542,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6285.188780841499,2616.0989409439667,1413.3466442988354,2489.0866457512952,2008-09-25
3330.6728865600207,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6286.709614174832,2618.799819920063,1415.5758109655021,2489.8199790846284,2008-09-26
3331.097886560021,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6287.847114174831,2621.5057788886306,1417.9133109655022,2490.3783124179618,2008-09-27
3331.6395532266874,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6289.513780841498,2624.2168178496695,1419.829977632169,2490.9824790846283,2008-09-28
3332.831219893354,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6291.626280841499,2626.93293680318,1423.217477632169,2492.1658124179617,2008-09-29
3334.4020532266873,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6295.734614174832,2629.6541357491615,1427.5091442988357,2494.599145751295,2008-09-30
3336.289553226687,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6300.4804475081655,2632.380414687614,1432.0758109655023,2497.0074790846284,2008-10-01
3338.33538656002,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6304.6679475081655,2635.1117736185383,1436.867477632169,2499.112024539174,2008-10-02
3340.2687198933536,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6307.559614174832,2637.8482125419337,1440.6633109655024,2500.843842720992,2008-10-03
3342.0728865600204,3379.417864724864,3244.5272927407013,0.0,6607.094950846407,6310.338780841498,2640.5897314578006,1444.0508109655025,2503.4146760543254,2008-10-04
